,PLAYER,TEAM,PPR_2023,PROJECTED POINTS,Position,Consensus,Target Round,VBD,My Ranking
0,A.J. Brown,PHI,293.6,271.57069943422664,WR,9,1,61.044603988273735,27
1,AJ Dillon,GNB,117.6,161.47509296461917,RB,217,22,-65.45412619823261,122
2,Aaron Jones,GNB,136.9,239.18112444525153,RB,63,7,12.251905282399747,59
3,Adam Thielen,CAR,229.0,206.31657777125562,WR,150,16,-4.209517674697281,75
4,Aidan O'Connell,LVR,136.82,310.48852095825845,QB,286,29,-27.122467556591175,97
5,Alexander Mattison,MIN,137.20000000000002,94.75231017798961,RB,213,22,-132.17690898486217,153
6,Alvin Kamara,NOR,227.0,329.93610218184523,RB,48,5,103.00688301899345,19
7,Amari Cooper,CLE,227.0,245.3968017768338,WR,49,5,34.87070633088089,46
8,Amon-Ra St. Brown,DET,332.90000000000003,368.9030345048033,WR,8,1,158.3769390588504,5
9,Antonio Gibson,WAS,131.4,167.69007898054,RB,155,16,-59.239140182311786,117
10,Austin Ekeler,LAC,193.4,333.49190187423113,RB,97,10,106.56268271137935,17
11,Bailey Zappe,NWE,82.86,129.89275607902744,QB,445,45,-207.7182324358222,160
12,Baker Mayfield,TAM,296.06,244.80273915002675,QB,149,15,-92.80824936482287,138
13,Bijan Robinson,ATL,252.3,226.92921916285178,RB,7,1,0.0,67
14,Brandin Cooks,DAL,171.2,205.807185725874,WR,132,14,-4.718909720078898,76
15,Brandon Aiyuk,SFO,251.2,241.1281141449269,WR,28,3,30.602018698974007,50
16,Breece Hall,NYJ,288.5,363.8688698973842,RB,5,1,136.9396507345324,8
17,Brock Purdy,SFO,321.6,376.4719106514374,QB,94,10,38.86092213658776,43
18,Bryce Young,CAR,184.38,214.77225273783554,QB,193,20,-122.83873577701408,150
19,C.J. Stroud,HOU,292.02,321.5438399624524,QB,54,6,-16.067148552397214,86
20,Cade Otton,TAM,116.5,91.75934492410953,TE,174,18,-92.77332096966175,137
21,Calvin Ridley,JAX,227.9,263.11517952723904,WR,68,7,52.58908408128613,35
22,CeeDee Lamb,DAL,405.20000000000005,476.5433986912584,WR,2,1,266.01730324530547,1
23,Chris Godwin,TAM,207.2,261.38856841790687,WR,71,8,50.86247297195396,37
24,Chris Olave,NOR,229.3,242.69920279852144,WR,19,2,32.173107352568536,47
25,Christian Kirk,JAX,154.26,195.15008384459915,WR,60,7,-15.376011601353753,84
26,Christian McCaffrey,SFO,395.3,399.72682626965076,RB,1,1,172.79760710679898,4
27,Christian Watson,GNB,101.3,184.7533582202816,WR,87,9,-25.772737225671307,95
28,Chuba Hubbard,CAR,182.5,138.0345587968868,RB,139,14,-88.89466036596497,136
29,Cole Kmet,CHI,181.1,139.25619947831987,TE,133,14,-45.27646641545141,110
30,Cooper Kupp,LAR,162.4,332.14042980692153,WR,31,4,121.61433436096863,11
31,Courtland Sutton,DEN,196.2,194.56110520310457,WR,104,11,-15.96499024284833,85
32,Curtis Samuel,WAS,157.20000000000002,188.40254381051187,WR,114,12,-22.123551635441032,93
