,Unnamed: 0.1,Unnamed: 0,DEF_TEAM,OPP_CODE,YEAR,WEEK,SCORE_OPP,PASSING_CMP,PASSING_ATT,PASSING_YDS,PASSING_TD,PASSING_INT,PASSING_SK,PASSING_Y_A,PASSING_NY_A,PASSING_CMP_PCT,PASSING_RATE,RUSHING_ATT,RUSHING_YDS,RUSHING_Y_A,RUSHING_TD
0,0,0,CAR,DAL,2018,1.0,8.0,19.0,29.0,138.0,0.0,0.0,6.0,5.9,3.9,65.5,76.5,22.0,94.0,4.3,1.0
1,1,1,CAR,ATL,2018,2.0,31.0,23.0,28.0,272.0,2.0,1.0,0.0,9.7,9.7,82.1,116.1,32.0,170.0,5.3,2.0
2,2,2,CAR,CIN,2018,3.0,21.0,29.0,46.0,330.0,2.0,4.0,2.0,7.7,6.9,63.0,62.8,13.0,66.0,5.1,1.0
3,3,3,CAR,NYG,2018,5.0,31.0,23.0,37.0,382.0,3.0,2.0,1.0,10.4,10.1,62.2,101.4,16.0,50.0,3.1,0.0
4,4,4,CAR,WAS,2018,6.0,23.0,21.0,36.0,156.0,2.0,0.0,3.0,4.5,4.0,58.3,87.3,28.0,132.0,4.7,0.0
5,5,5,CAR,PHI,2018,7.0,17.0,30.0,37.0,284.0,2.0,0.0,4.0,8.4,6.9,81.1,116.7,24.0,58.0,2.4,0.0
6,6,6,CAR,BAL,2018,8.0,21.0,26.0,44.0,224.0,2.0,2.0,2.0,5.4,4.9,59.1,68.7,18.0,101.0,5.6,1.0
7,7,7,CAR,TAM,2018,9.0,28.0,24.0,41.0,219.0,4.0,2.0,3.0,5.9,5.0,58.5,85.3,21.0,82.0,3.9,0.0
8,8,8,CAR,PIT,2018,10.0,52.0,23.0,27.0,319.0,5.0,0.0,1.0,12.0,11.4,85.2,155.5,30.0,138.0,4.6,1.0
9,9,9,CAR,DET,2018,11.0,20.0,23.0,37.0,215.0,1.0,0.0,1.0,5.9,5.7,62.2,87.1,26.0,94.0,3.6,1.0
10,10,10,CAR,SEA,2018,12.0,30.0,22.0,31.0,322.0,2.0,0.0,2.0,10.9,9.8,71.0,126.0,28.0,75.0,2.7,1.0
11,11,11,CAR,TAM,2018,13.0,24.0,20.0,30.0,220.0,2.0,0.0,4.0,8.3,6.5,66.7,110.4,25.0,95.0,3.8,1.0
12,12,12,CAR,CLE,2018,14.0,26.0,18.0,23.0,232.0,1.0,0.0,1.0,10.3,9.7,78.3,123.2,21.0,116.0,5.5,2.0
13,13,13,CAR,NOR,2018,15.0,12.0,23.0,35.0,191.0,0.0,1.0,2.0,5.8,5.2,65.7,67.7,32.0,155.0,4.8,1.0
14,14,14,CAR,ATL,2018,16.0,24.0,15.0,26.0,233.0,3.0,0.0,1.0,9.2,8.6,57.7,126.0,21.0,194.0,9.2,0.0
15,15,15,CAR,NOR,2018,17.0,14.0,14.0,22.0,110.0,1.0,1.0,2.0,5.4,4.6,63.6,72.2,27.0,184.0,6.8,1.0
16,16,0,SFO,MIN,2018,1.0,24.0,20.0,36.0,227.0,2.0,0.0,3.0,6.8,5.8,55.6,93.2,32.0,116.0,3.6,0.0
17,17,1,SFO,DET,2018,2.0,27.0,34.0,53.0,329.0,3.0,0.0,2.0,6.5,6.0,64.2,100.3,18.0,98.0,5.4,0.0
18,18,2,SFO,KAN,2018,3.0,38.0,24.0,38.0,307.0,3.0,0.0,2.0,8.3,7.7,63.2,114.7,28.0,77.0,2.8,2.0
19,19,3,SFO,LAC,2018,4.0,29.0,25.0,39.0,242.0,3.0,1.0,1.0,6.4,6.1,64.1,96.3,27.0,126.0,4.7,0.0
20,20,4,SFO,ARI,2018,5.0,28.0,10.0,25.0,164.0,1.0,0.0,1.0,6.8,6.3,40.0,76.1,23.0,56.0,2.4,2.0
21,21,5,SFO,GNB,2018,6.0,33.0,25.0,46.0,405.0,2.0,0.0,3.0,9.2,8.3,54.3,98.6,21.0,116.0,5.5,1.0
22,22,6,SFO,LAR,2018,7.0,39.0,18.0,24.0,193.0,2.0,0.0,1.0,8.4,7.7,75.0,125.9,36.0,146.0,4.1,2.0
23,23,7,SFO,ARI,2018,8.0,18.0,23.0,40.0,233.0,2.0,1.0,3.0,6.3,5.4,57.5,80.5,21.0,88.0,4.2,0.0
24,24,8,SFO,LVR,2018,9.0,3.0,17.0,24.0,140.0,0.0,0.0,8.0,7.5,4.4,70.8,85.4,23.0,102.0,4.4,0.0
25,25,9,SFO,NYG,2018,10.0,27.0,19.0,31.0,180.0,3.0,0.0,1.0,6.1,5.6,61.3,109.6,23.0,97.0,4.2,0.0
26,26,10,SFO,TAM,2018,12.0,27.0,29.0,38.0,304.0,2.0,0.0,1.0,8.2,7.8,76.3,116.6,31.0,108.0,3.5,1.0
27,27,11,SFO,SEA,2018,13.0,43.0,11.0,17.0,163.0,4.0,0.0,3.0,10.9,8.2,64.7,135.5,29.0,168.0,5.8,1.0
28,28,12,SFO,DEN,2018,14.0,14.0,24.0,42.0,171.0,1.0,0.0,2.0,4.4,3.9,57.1,74.6,27.0,103.0,3.8,1.0
29,29,13,SFO,SEA,2018,15.0,23.0,23.0,31.0,217.0,2.0,0.0,3.0,7.6,6.4,74.2,114.6,35.0,168.0,4.8,1.0
30,30,14,SFO,CHI,2018,16.0,14.0,25.0,29.0,235.0,1.0,0.0,3.0,8.5,7.3,86.2,111.9,28.0,90.0,3.2,1.0
31,31,15,SFO,LAR,2018,17.0,48.0,17.0,29.0,222.0,4.0,0.0,0.0,7.7,7.7,58.6,122.4,42.0,155.0,3.7,1.0
32,32,0,DAL,CAR,2018,1.0,16.0,17.0,26.0,146.0,0.0,0.0,3.0,6.2,5.0,65.4,80.0,32.0,147.0,4.6,2.0
33,33,1,DAL,NYG,2018,2.0,13.0,33.0,44.0,220.0,1.0,0.0,6.0,6.3,4.4,75.0,93.0,17.0,35.0,2.1,0.0
34,34,2,DAL,SEA,2018,3.0,24.0,16.0,26.0,182.0,2.0,0.0,2.0,7.4,6.5,61.5,108.2,39.0,113.0,2.9,1.0
35,35,3,DAL,DET,2018,4.0,24.0,24.0,30.0,286.0,2.0,0.0,3.0,10.2,8.7,80.0,128.6,20.0,96.0,4.8,1.0
36,36,4,DAL,HOU,2018,5.0,19.0,33.0,44.0,374.0,1.0,1.0,1.0,8.5,8.3,75.0,98.1,31.0,88.0,2.8,0.0
37,37,5,DAL,JAX,2018,6.0,7.0,15.0,26.0,139.0,1.0,1.0,3.0,5.7,4.8,57.7,69.2,18.0,65.0,3.6,0.0
38,38,6,DAL,WAS,2018,7.0,20.0,14.0,25.0,175.0,1.0,0.0,1.0,7.1,6.7,56.0,91.2,32.0,130.0,4.1,0.0
39,39,7,DAL,TEN,2018,9.0,28.0,21.0,29.0,215.0,2.0,0.0,4.0,8.3,6.5,72.4,116.3,36.0,125.0,3.5,2.0
40,40,8,DAL,PHI,2018,10.0,20.0,32.0,44.0,350.0,2.0,1.0,2.0,8.2,7.6,72.7,101.5,16.0,71.0,4.4,0.0
41,41,9,DAL,ATL,2018,11.0,19.0,24.0,34.0,274.0,1.0,1.0,3.0,8.6,7.4,70.6,92.0,18.0,80.0,4.4,0.0
42,42,10,DAL,WAS,2018,12.0,23.0,24.0,38.0,251.0,2.0,3.0,3.0,7.1,6.1,63.2,66.9,20.0,80.0,4.0,1.0
43,43,11,DAL,NOR,2018,13.0,10.0,18.0,28.0,111.0,1.0,1.0,2.0,4.5,3.7,64.3,69.2,19.0,65.0,3.4,0.0
44,44,12,DAL,PHI,2018,14.0,23.0,22.0,32.0,222.0,3.0,0.0,2.0,7.1,6.5,68.8,119.5,14.0,34.0,2.4,0.0
45,45,13,DAL,IND,2018,15.0,23.0,16.0,27.0,192.0,0.0,0.0,0.0,7.1,7.1,59.3,81.1,39.0,178.0,4.6,2.0
46,46,14,DAL,TAM,2018,16.0,20.0,34.0,48.0,320.0,1.0,0.0,3.0,7.0,6.3,70.8,95.8,24.0,63.0,2.6,1.0
47,47,15,DAL,NYG,2018,17.0,35.0,24.0,41.0,298.0,2.0,1.0,1.0,7.3,7.1,58.5,87.2,25.0,143.0,5.7,2.0
48,48,0,BUF,BAL,2018,1.0,47.0,26.0,38.0,252.0,3.0,0.0,2.0,6.8,6.3,68.4,113.0,34.0,117.0,3.4,3.0
49,49,1,BUF,LAC,2018,2.0,31.0,23.0,27.0,240.0,3.0,0.0,2.0,9.5,8.3,85.2,140.7,26.0,109.0,4.2,1.0
50,50,2,BUF,MIN,2018,3.0,6.0,40.0,55.0,278.0,1.0,1.0,4.0,5.4,4.7,72.7,82.2,6.0,14.0,2.3,0.0
51,51,3,BUF,GNB,2018,4.0,22.0,22.0,40.0,282.0,1.0,1.0,2.0,7.5,6.7,55.0,75.2,32.0,141.0,4.4,1.0
52,52,4,BUF,TEN,2018,5.0,12.0,14.0,26.0,121.0,0.0,1.0,2.0,5.0,4.3,53.8,50.3,25.0,100.0,4.0,0.0
