Player,Player Code
"Kamara, Alvin",K/KamaAl00
"Barkley, Saquon",B/BarkSa00
"Mayfield, Baker",M/MayfBa00
"Dobbins, J.K.",D/DobbJK00
"Achane, De'Von",A/AchaDe00
"Mason, Jordan",M/MasoJo00
"Cook, James",C/CookJa01
"Reed, Jayden",R/ReedJa03
"Carr, Derek",C/CarrDe02
"Murray, Kyler",M/MurrKy00
"Godwin, Chris",G/GodwCh00
"Daniels, Jayden",D/DaniJa02
"Jackson, Lamar",J/JackLa00
"Conner, James",C/ConnJa00
"Collins, Nico",C/CollNi00
"Jefferson, Justin",J/JeffJu00
"Shaheed, Rashid",S/ShahRa00
"Allen, Josh",A/AlleJo02
"Stevenson, Rhamondre",S/StevRh00
"Pierce, Alec",P/PierAl00
"Hurts, Jalen",H/HurtJa00
"Williams, Jameson",W/WillJa11
"Hall, Breece",H/HallBr03
"Likely, Isaiah",L/LikeIs00
"Robinson, Brian",R/RobiBr01
"Mixon, Joe",M/MixoJo00
"Ridley, Calvin",R/RidlCa00
"Harrison, Marvin",H/HarrMa09
"Nabers, Malik",N/NabeMa00
"Smith, Geno",S/SmitGe00
"Richardson, Anthony",R/RichAn03
"Montgomery, David",M/MontDa01
"Rice, Rashee",R/RiceRa01
"Kittle, George",K/KittGe00
"Darnold, Sam",D/DarnSa00
"Lamb, CeeDee",L/LambCe00
"Samuel, Deebo",S/SamuDe00
"Adams, Davante",A/AdamDa01
"McBride, Trey",M/McBrTr01
"Bowers, Brock",B/BoweBr01
"Stroud, C.J.",S/StroCJ00
"Henry, Derrick",H/HenrDe00
"Pollard, Tony",P/PollTo00
"Hill, Tyreek",H/HillTy00
"Metcalf, D.K.",M/MetcDK00
"Smith, DeVonta",S/SmitDe07
"Lazard, Allen",L/LazaAl00
"Evans, Mike",E/EvanMi00
"Kupp, Cooper",K/KuppCo00
"Pacheco, Isiah",P/PachIs00
"Taylor, Jonathan",T/TaylJo02
"Johnston, Quentin",J/JohnQu02
"Worthy, Xavier",W/WortXa00
"Gibbs, Jahmyr",G/GibbJa01
"Jacobs, Josh",J/JacoJo01
"Robinson, Bijan",R/RobiBi01
"Thomas, Brian",T/ThomBr06
"Flowers, Zay",F/FlowZa00
"Diggs, Stefon",D/DiggSt00
"Henry, Hunter",H/HenrHu00
"Charbonnet, Zach",C/CharZa00
"Williams, Kyren",W/WillKy02
"Nailor, Jalen",N/NailJa00
"Etienne, Travis",E/EtieTr00
"Jones, Aaron",J/JoneAa00
"Brown, A.J.",B/BrowAJ00
"Pitts, Kyle",P/PittKy00
"Gesicki, Mike",G/GesiMi00
"Moreau, Foster",M/MoreFo00
"Mahomes, Patrick",M/MahoPa00
"Watson, Deshaun",W/WatsDe00
"Lawrence, Trevor",L/LawrTr00
"Burrow, Joe",B/BurrJo01
"Minshew, Gardner",M/MinsGa00
"Prescott, Dak",P/PresDa01
"Cousins, Kirk",C/CousKi00
"Purdy, Brock",P/PurdBr00
"Rodgers, Aaron",R/RodgAa00
"Tagovailoa, Tua",T/TagoTu00
"Fields, Justin",F/FielJu00
"Jones, Daniel",J/JoneDa05
"Herbert, Justin",H/HerbJu00
"Stafford, Matthew",S/StafMa00
"Goff, Jared",G/GoffJa00
"Allen, Braelon",A/AlleBr05
"Brissett, Jacoby",B/BrisJa00
"Ford, Jerome",F/FordJe00
"Nix, Bo",N/NixxBo00
"Singletary, Devin",S/SingDe00
"Levis, Will",L/LeviWi00
"Mattison, Alexander",M/MattAl01
"Moss, Zack",M/MossZa00
"Walker, Kenneth",W/WalkKe00
"Jeudy, Jerry",J/JeudJe00
"Love, Jordan",L/LoveJo03
"Mooney, Darnell",M/MoonDa00
"Shakir, Khalil",S/ShakKh00
"Waddle, Jaylen",W/WaddJa00
"Ekeler, Austin",E/EkelAu00
"Harris, Najee",H/HarrNa00
"Iosivas, Andrei",I/IosiAn00
"Williams, Caleb",W/WillCa03
"Williams, Jamaal",W/WillJa06
"Elliott, Ezekiel",E/ElliEz00
"Reynolds, Josh",R/ReynJo00
"Robinson, Wan'Dale",R/RobiWa01
"Smith-Njigba, Jaxon",S/SmitJa06
"Dulin, Ashton",D/DuliAs00
"London, Drake",L/LondDr00
"McConkey, Ladd",M/McCoLa00
"St. Brown, Amon-Ra",S/StxxAm00
"White, Rachaad",W/WhitRa01
"Willis, Malik",W/WillMa12
"Chandler, Ty",C/ChanTy01
"Cooks, Brandin",C/CookBr00
"Gibson, Antonio",G/GibsAn00
"Wilson, Garrett",W/WilsGa00
"Young, Bryce",Y/YounBr01
"Davis, Gabriel",D/DaviGa01
"Doubs, Romeo",D/DoubRo00
"McMillan, Jalen",M/McMiJa01
"Chase, Ja'Marr",C/ChasJa00
"Irving, Bucky",I/IrviBu00
"Jennings, Jauan",J/JennJa00
"Johnson, Tyler",J/JohnTy00
"McCloud, Ray-Ray",M/McClRa00
"Moore, D.J.",M/MoorD.00
"Olave, Chris",O/OlavCh00
"Pickens, George",P/PickGe00
"Wilson, Michael",W/WilsMi02
"Allgeier, Tyler",A/AllgTy00
"Bateman, Rashod",B/BateRa00
"Dowdle, Rico",D/DowdRi01
"Edwards, Gus",E/EdwaGu00
"Ertz, Zach",E/ErtzZa00
"Higgins, Elijah",H/HiggEl00
"Hill, Justice",H/HillJu00
"Hollins, Mack",H/HollMa00
"Hubbard, Chuba",H/HubbCh01
"Johnson, Juwan",J/JohnJu02
"Lockett, Tyler",L/LockTy00
"Meyers, Jakobi",M/MeyeJa01
"Okonkwo, Chigoziem",O/OkonCh00
"Robinson, Demarcus",R/RobiDe01
"Swift, D'Andre",S/SwifDA00
"Tolbert, Jalen",T/TolbJa00
"Wicks, Dontayvion",W/WickDo00
"Williams, Javonte",W/WillJa10
"Polk, Ja'Lynn",P/PolkJa00
"Warren, Jaylen",W/WarrJa01
"Aiyuk, Brandon",A/AiyuBr00
"Andrews, Mark",A/AndrMa00
"Bigsby, Tank",B/BigsTa00
"Dell, Tank",D/DellNa00
"Demercado, Emari",D/DemeEm00
"Freiermuth, Pat",F/FreiPa00
"Goedert, Dallas",G/GoedDa00
"Herbert, Khalil",H/HerbKh00
"Strange, Brenton",S/StraBr00
"Thielen, Adam",T/ThieAd00
"Turpin, KaVontae",T/TurpKa00
"Washington, Darnell",W/WashDa03
"Watson, Christian",W/WatsCh00
"Brown, Noah",B/BrowNo00
"Dallas, DeeJay",D/DallDe00
"Davis, Ray",D/DaviRa04
"Dortch, Greg",D/DortGr01
"Hill, Taysom",H/HillTa00
"Juszczyk, Kyle",J/JuszKy00
"LaPorta, Sam",L/LaPoSa01
"Parkinson, Colby",P/ParkCo02
"Slayton, Darius",S/SlayDa01
"Smith, Jonnu",S/SmitJo01
"Spears, Tyjae",S/SpeaTy00
"Sutton, Courtland",S/SuttCo00
"Taylor, Tyrod",T/TaylTy00
"White, Zamir",W/WhitZa01
"Wilson, Emanuel",W/WilsEm00
"Atwell, Tutu",A/AtweTu00
"Brown, Chase",B/BrowCh10
"Burton, Jermaine",B/BurtJe01
"Coleman, Keon",C/ColeKe02
"Foreman, D'Onta",F/ForeDO00
"Humphrey, Lil'Jordan",H/HumpLi01
"Kraft, Tucker",K/KrafTu00
"Moore, Elijah",M/MoorEl00
"Pittman, Michael",P/PittMi01
"Sanders, Miles",S/SandMi01
"Watson, Justin",W/WatsJu01
"Addison, Jordan",A/AddiJo00
"Akins, Jordan",A/AkinJo00
"Benson, Trey",B/BensTr01
"Boyd, Tyler",B/BoydTy00
"Carter, DeAndre",C/CartDe02
"Dissly, Will",D/DissWi00
"Gray, Noah",G/GrayNo00
"Hooper, Austin",H/HoopAu00
"Hurst, Hayden",H/HursHa00
"Johnson, Ty",J/JohnTy02
"Kelce, Travis",K/KelcTr00
"Kincaid, Dalton",K/KincDa00
"Legette, Xavier",L/LegeXa00
"McLaurin, Terry",M/McLaTe00
"Nacua, Puka",N/NacuPu00
"Njoku, David",N/NjokDa00
"Odunze, Rome",O/OdunRo00
"Raymond, Kalif",R/RaymKa00
"Schoonmaker, Luke",S/SchoLu00
"Schultz, Dalton",S/SchuDa00
"Strong, Pierre",S/StroPi00
"Thompson, Skylar",T/ThomSk00
"Tucker, Tre",T/TuckTr00
"Vele, Devaughn",V/VeleDe00
"Wilson, Jeff",W/WilsJe01
"Allen, Keenan",A/AlleKe00
"All, Erick",A/AllxEr00
"Bell, David",B/BellDa02
"Brooks, Jalen",B/BrooJa03
"Calcaterra, Grant",C/CalcGr00
"Cooper, Amari",C/CoopAm00
"Corum, Blake",C/CoruBl00
"Dulcich, Greg",D/DulcGr00
"Fant, Noah",F/FantNo00
"Johnson, D'Ernest",J/JohnDE04
"Johnson, Diontae",J/JohnDi01
"Kirk, Christian",K/KirkCh01
"Kmet, Cole",K/KmetCo00
"Mitchell, Adonai",M/MitcAd00
"Mundt, Johnny",M/MundJo00
"Ogunbowale, Dare",O/OgunDa00
"Oliver, Josh",O/OlivJo00
"Osborn, K.J.",O/OsboKJ00
"Palmer, Josh",P/PalmJo00
"Sample, Drew",S/SampDr00
"Saubert, Eric",S/SaubEr00
"Thornton, Tyquan",T/ThorTy00
"Zaccheaus, Olamide",Z/ZaccOl01
"Agholor, Nelson",A/AghoNe00
"Akers, Cam",A/AkerCa00
"Alie-Cox, Mo",A/AlieMo00
"Badie, Tyler",B/BadiTy00
"Bobo, Jake",B/BoboJa00
"Brown, Dyami",B/BrowDy00
"Conklin, Tyler",C/ConkTy00
"Covey, Britain",C/CoveBr00
"Ferguson, Jake",F/FergJa00
"Gainwell, Kenneth",G/GainKe00
"Gray, Eric",G/GrayEr01
"Homer, Travis",H/HomeTr00
"Hopkins, DeAndre",H/HopkDe00
"Jefferson, Van",J/JeffVa00
"Johnson, Theo",J/JohnTh00
"Knox, Dawson",K/KnoxDa00
"Lloyd, MarShawn",L/LloyMa00
"Luepke, Hunter",L/LuepHu00
"McCaffrey, Luke",M/McCaLu00
"Mingo, Jonathan",M/MingJo00
"Mostert, Raheem",M/MostRa00
"Palmer, Trey",P/PalmTr00
"Patterson, Cordarrelle",P/PattCo00
"Pierce, Dameon",P/PierDa01
"Powell, Brandon",P/PoweBr00
"Rivers, Ronnie",R/RiveRo01
"Samuel, Curtis",S/SamuCu00
"Sherfield, Trent",S/SherTr00
"Stover, Cade",S/StovCa00
"Tremble, Tommy",T/TremTo00
"Vaki, Sione",V/VakiSi00
"Valdes-Scantling, Marquez",V/ValdMa00
"Vaughn, Deuce",V/VaugDe00
"Whittington, Jordan",W/WhitJo04
"Williams, Mike",W/WillMi07
"Chosen, Robbie",A/AndeRo04
"Austin, Calvin",A/AustCa00
"Bates, John",B/BateJo00
"Boone, Mike",B/BoonMi00
"Crowder, Jamison",C/CrowJa00
"Davis, Derius",D/DaviDe02
"Dotson, Jahan",D/DotsJa00
"Douglas, Demario",D/DougDe00
"Dubose, Grant",D/DuboGr00
"Duvernay, Devin",D/DuveDe00
"Engram, Evan",E/EngrEv00
"Estime, Audric",E/EstiAu00
"Farrell, Luke",F/FarrLu00
"Granson, Kylen",G/GranKy00
"Haskins, Hassan",H/HaskHa00
"Hill, Julian",H/HillJu02
"Ingold, Alec",I/IngoAl01
"Irwin, Trenton",I/IrwiTr00
"Jordan, Brevin",J/JordBr00
"Mayer, Michael",M/MayeMi00
"McLaughlin, Jaleel",M/McLaJa00
"Melton, Bo",M/MeltBo00
"Mims, Jordan",M/MimsJo00
"Mims, Marvin",M/MimsMa00
"Moore, David",M/MoorDa03
"Musgrave, Luke",M/MusgLu00
"Ogletree, Andrew",O/OgleAn00
"Patrick, Tim",P/PatrTi00
"Perine, Samaje",P/PeriSa00
"Pruitt, MyCole",P/PruiMy00
"Sanders, Ja'Tavion",S/SandJa01
"Sermon, Trey",S/SermTr00
"Shenault, Laviska",S/ShenLa00
"Smythe, Durham",S/SmytDu00
"Steele, Carson",S/SteeCa00
"Tillman, Cedric",T/TillCe01
"Tipton, Mason",T/TiptMa00
