,GAME_ORDER,YEAR,DATE,GAME_NUMBER,WEEK,PLAYER,AGE,TEAM,OPPONENT,RESULT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,RUSHING_1D,RUSHING_YBC,RUSHING_YBC_ATT,RUSHING_YAC,RUSHING_YAC_ATT,RUSHING_BRKTKL,RUSHING_ATT_BR,RECEIVING_TGT,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD,RECEIVING_1D,RECEIVING_YBC,RECEIVING_YBC_R,RECEIVING_YAC,RECEIVING_YAC_R,RECEIVING_ADOT,RECEIVING_BRKTKL,RECEIVING_REC_BR,RECEIVING_DROP,RECEIVING_DROP_PCT,RECEIVING_INT,RECEIVING_RAT,PASSING_CMP,PASSING_ATT,PASSING_CMP_PCT,PASSING_YDS,PASSING_TD,PASSING_INT,PASSING_RATE,PASSING_SK,PASSING_YDS1,PASSING_Y_A,PASSING_AY_A
0,1,2018,2018-09-09,1,1,Saquon Barkley,21.212,NYG,JAX,L 15-20,18,106,1,3,19,1.1,87,4.8,4,4.5,6,2,22,0,1,-9,-4.5,31,15.5,-1.7,0,0,2,33.3,1,5.6,,,,,,,,,,,
1,2,2018,2018-09-16,2,2,Saquon Barkley,21.219,NYG,DAL,L 13-20,11,28,0,4,6,0.5,22,2.0,1,11.0,16,14,80,0,2,-16,-1.1,96,6.9,-1.3,4,3.5,0,0.0,0,87.5,,,,,,,,,,,
2,3,2018,2018-09-23,3,3,Saquon Barkley,21.226,NYG,HOU,W 27-22,17,82,1,4,38,2.2,44,2.6,3,5.7,5,5,35,0,1,-1,-0.2,36,7.2,-0.2,1,5.0,0,0.0,0,95.8,,,,,,,,,,,
3,4,2018,2018-09-30,4,4,Saquon Barkley,21.233,NYG,NOR,L 18-33,10,44,1,2,27,2.7,17,1.7,1,10.0,8,6,56,0,4,-11,-1.8,67,11.2,0.6,0,0,0,0.0,0,93.7,,,,,,,,,,,
4,5,2018,2018-10-07,5,5,Saquon Barkley,21.240,NYG,CAR,L 31-33,15,48,0,2,22,1.5,26,1.7,0,0,4,4,81,2,2,31,7.8,50,12.5,7.8,0,0,0,0.0,0,158.3,,,,,,,,,,,
5,6,2018,2018-10-11,6,6,Saquon Barkley,21.244,NYG,PHI,L 13-34,13,130,1,4,81,6.2,49,3.8,0,0,12,9,99,0,2,-17,-1.9,116,12.9,-0.7,3,3.0,0,0.0,0,99.0,,,,,,,,,,,
6,7,2018,2018-10-22,7,7,Saquon Barkley,21.255,NYG,ATL,L 20-23,14,43,1,4,13,0.9,30,2.1,2,7.0,10,9,51,0,2,-31,-3.4,82,9.1,-3.1,0,0,1,10.0,0,87.9,,,,,,,,,,,
7,8,2018,2018-10-28,8,8,Saquon Barkley,21.261,NYG,WAS,L 13-20,13,38,0,1,27,2.1,11,0.8,0,0,10,9,73,0,3,13,1.4,60,6.7,1.6,0,0,0,0.0,0,97.1,,,,,,,,,,,
8,9,2018,2018-11-12,9,10,Saquon Barkley,21.276,NYG,SFO,W 27-23,20,67,0,2,33,1.7,34,1.7,4,5.0,5,4,33,0,2,-7,-1.8,40,10.0,2.8,1,4.0,0,0.0,0,94.2,,,,,,,,,,,
9,10,2018,2018-11-18,10,11,Saquon Barkley,21.282,NYG,TAM,W 38-35,27,142,2,8,26,1.0,116,4.3,5,5.4,3,2,10,1,1,5,2.5,5,2.5,9.0,0,0,0,0.0,0,111.1,,,,,,,,,,,
